,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Steve Shutt,1952,F,930,424,393,817,410,394,,,,,329,95,0,50,0,310,82,1,57,0,639,177,1,107,0,21.7%,,,,,,,,,,0.456,0.423,0.878,2403,17.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Evgeni Malkin,1986,F,940,424,680,1104,984,69,19:54,15:14,4:24,0:16,267,153,4,73,12,414,265,1,118,19,681,418,5,191,31,37.9%,1.359,2.18,3.539,1.118,1.734,2.852,2.219,3.844,6.064,0.451,0.723,1.174,3117,13.6%,576,382,4735,5968,44.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Owen Nolan,1972,F,1200,422,463,885,1793,-40,,,,,244,155,23,53,3,299,150,14,69,1,543,305,37,122,4,34.5%,,,,,,,,,,0.352,0.386,0.738,3128,13.5%,223,73,2074,2137,49.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Stephane Richer,1966,F,1054,421,398,819,614,76,,,,,315,93,13,72,7,281,111,6,63,3,596,204,19,135,10,24.9%,,,,,,,,,,0.399,0.378,0.777,2849,14.8%,,,35,63,35.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Vincent Lecavalier,1980,F,1212,421,528,949,848,-140,18:25,14:00,3:47,0:37,281,127,13,63,9,324,194,10,76,6,605,321,23,139,15,33.8%,1.131,1.419,2.55,0.993,1.144,2.137,1.659,2.535,4.194,0.347,0.436,0.783,3468,12.1%,941,251,8815,9777,47.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Steve Thomas,1963,F,1235,421,512,933,1306,20,,,,,315,106,0,78,13,369,142,1,78,10,684,248,1,156,23,26.6%,,,,,,,,,,0.341,0.415,0.755,3167,13.3%,,,16,33,32.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bill Barber,1952,F,903,420,463,883,623,312,,,,,285,104,31,54,0,267,176,20,62,2,552,280,51,116,2,31.7%,,,,,,,,,,0.465,0.513,0.978,3238,13.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Jason Arnott,1974,F,1244,417,521,938,1242,81,,,,,270,145,2,64,6,342,178,1,87,8,612,323,3,151,14,34.4%,,,,,,,,,,0.335,0.419,0.754,3460,12.1%,294,133,7167,7121,50.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Tony Amonte,1970,F,1174,416,484,900,752,96,,,,,285,108,23,58,6,318,158,8,81,5,603,266,31,139,11,29.6%,,,,,,,,,,0.354,0.412,0.767,3260,12.8%,61,77,86,166,34.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Garry Unger,1947,F,1105,413,391,804,1075,-131,,,,,304,105,4,54,0,272,115,4,55,0,576,220,8,109,0,27.4%,,,,,,,,,,0.374,0.354,0.728,3434,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,John MacLean,1964,F,1194,413,429,842,1328,43,,,,,285,115,13,63,3,302,119,8,59,6,587,234,21,122,9,27.8%,,,,,,,,,,0.346,0.359,0.705,3324,12.4%,,,44,44,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Ray Bourque,1960,D,1612,410,1169,1579,1141,527,,,,,221,173,16,60,5,553,588,28,166,13,774,761,44,226,18,48.2%,,,,,,,,,,0.254,0.725,0.98,6209,6.6%,,,0,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Patrik Eliá_,1976,F,1240,408,617,1025,549,172,,,,,279,113,16,80,16,380,220,17,133,21,659,333,33,213,37,32.5%,,,,,,,,,,0.329,0.498,0.827,3287,12.4%,401,184,2476,3289,42.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Ray Ferraro,1964,F,1258,408,490,898,1288,-104,,,,,278,130,0,45,6,340,148,2,61,3,618,278,2,106,9,31.0%,,,,,,,,,,0.324,0.39,0.714,2163,18.9%,,,2808,2974,48.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Marian Gaborik,1982,F,1035,407,408,815,492,95,17:43,14:04,3:15,0:22,290,110,7,71,11,258,147,3,69,8,548,257,10,140,19,31.5%,1.331,1.335,2.666,1.194,1.063,2.257,1.954,2.611,4.565,0.393,0.394,0.787,3207,12.7%,422,212,25,69,26.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,John Leclair,1969,F,967,406,413,819,501,204,,,,,287,118,1,65,5,307,106,0,60,4,594,224,1,125,9,27.4%,,,,,,,,,,0.42,0.427,0.847,2611,15.6%,54,37,22,36,37.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Rod Gilbert,1941,F,1065,406,615,1021,510,38,,,,,298,108,0,52,0,400,215,0,86,0,698,323,0,138,0,31.6%,,,,,,,,,,0.381,0.577,0.959,3142,12.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Patrick Kane,1988,F,1029,404,684,1088,392,62,20:12,16:36,3:31,0:03,293,111,0,65,9,445,238,1,113,21,738,349,1,178,30,32.1%,1.166,1.974,3.14,1.028,1.562,2.59,1.835,3.934,5.769,0.393,0.665,1.057,3397,11.9%,278,217,318,505,38.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,John Ogrodnick,1959,F,928,402,425,827,260,-63,,,,,271,121,10,45,1,281,139,5,44,3,552,260,15,89,4,31.4%,,,,,,,,,,0.433,0.458,0.891,2815,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Paul Kariya,1974,F,989,402,587,989,399,31,,,,,246,139,17,53,4,330,251,6,106,14,576,390,23,159,18,39.4%,,,,,,,,,,0.406,0.594,1,3509,11.5%,95,145,233,337,40.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Shane Doan,1976,F,1540,402,570,972,1353,-54,,,,,268,128,6,69,11,372,185,13,90,10,640,313,19,159,21,32.2%,,,,,,,,,,0.261,0.37,0.631,3945,10.2%,1856,267,1028,1353,43.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Jeff Carter,1985,F,1094,399,363,762,555,40,18:00,13:49,2:42,1:29,267,114,18,84,14,253,105,5,66,10,520,219,23,150,24,28.7%,1.215,1.105,2.32,1.06,1.004,2.064,2.311,2.129,4.44,0.365,0.332,0.697,3538,11.3%,904,526,7575,7472,50.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Dave Keon,1940,F,1296,396,590,986,117,61,,,,,297,67,32,65,0,418,156,16,84,0,715,223,48,149,0,22.6%,,,,,,,,,,0.306,0.455,0.761,3946,10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Paul Coffey,1961,D,1409,396,1135,1531,1802,298,,,,,241,135,20,43,1,575,529,31,140,11,816,664,51,183,12,43.4%,,,,,,,,,,0.281,0.806,1.087,4389,9.0%,,,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Cam Neely,1965,F,726,395,299,694,1241,83,,,,,252,142,1,61,2,212,86,1,40,6,464,228,2,101,8,32.9%,,,,,,,,,,0.544,0.412,0.956,2150,18.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Pierre Larouche,1955,F,812,395,427,822,237,-29,,,,,280,114,1,36,0,297,127,3,61,3,577,241,4,97,3,29.3%,,,,,,,,,,0.486,0.526,1.012,2298,17.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Markus Näslund,1973,F,1117,395,474,869,736,6,,,,,263,126,6,53,5,270,202,2,67,11,533,328,8,120,16,37.7%,,,,,,,,,,0.354,0.424,0.778,3046,13.0%,127,100,32,51,38.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Tomas Sandström,1964,F,983,394,462,856,1193,8,,,,,265,119,10,44,8,289,167,6,57,6,554,286,16,101,14,33.4%,,,,,,,,,,0.401,0.47,0.871,2740,14.4%,,,12,22,35.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Joe Pavelski,1984,F,1086,394,449,843,416,136,18:46,14:28,3:06,1:10,244,140,10,67,4,272,170,7,85,15,516,310,17,152,19,36.8%,1.16,1.322,2.481,0.931,1.038,1.969,2.486,3.019,5.506,0.363,0.413,0.776,3112,12.7%,1108,936,7075,5849,54.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Bernie Geoffrion,1931,F,883,393,429,822,683,39,,,,,271,120,2,75,0,247,182,0,70,0,518,302,2,145,0,36.7%,,,,,,,,,,0.445,0.486,0.931,1404,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Zach Parise,1984,F,1060,393,417,810,384,78,18:16,14:31,3:02,0:41,266,120,7,76,8,283,125,9,93,10,549,245,16,169,18,30.2%,1.217,1.292,2.509,1.036,1.102,2.139,2.23,2.323,4.552,0.371,0.393,0.764,3406,11.5%,827,603,360,468,43.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Daniel Sedin,1980,F,1306,393,648,1041,546,147,17:00,13:18,3:17,0:24,255,138,0,86,16,415,229,4,110,15,670,367,4,196,31,35.3%,1.062,1.751,2.812,0.88,1.432,2.313,1.929,3.201,5.13,0.301,0.496,0.797,3474,11.3%,243,180,179,283,38.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Jean Pronovost,1945,F,998,391,383,774,413,49,,,,,289,85,17,57,0,258,112,13,49,0,547,197,30,106,0,25.5%,,,,,,,,,,0.392,0.384,0.776,2784,14.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Phil Kessel,1987,F,1122,391,513,904,332,-124,18:07,14:51,3:13,0:03,275,115,1,70,11,318,195,0,84,14,593,310,1,154,25,34.3%,1.153,1.513,2.666,0.99,1.145,2.135,1.909,3.236,5.145,0.348,0.457,0.806,3525,11.1%,186,266,453,630,41.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Martin St. Louis,1975,F,1134,391,642,1033,310,37,20:21,15:19,3:41,1:21,261,101,29,66,10,409,216,17,102,13,670,317,46,168,23,30.7%,1.016,1.668,2.684,0.901,1.413,2.314,1.45,3.101,4.551,0.345,0.566,0.911,2884,13.6%,252,418,352,502,41.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Dean Prentice,1932,F,1378,391,469,860,487,-82,,,,,292,91,8,47,0,380,83,6,56,0,672,174,14,103,0,20.2%,,,,,,,,,,0.284,0.34,0.624,2573,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Corey Perry,1985,F,1094,386,432,818,1219,70,17:41,14:16,3:02,0:22,275,105,6,65,6,276,152,4,74,3,551,257,10,139,9,31.4%,1.196,1.339,2.536,1.057,1.061,2.117,1.893,2.74,4.633,0.353,0.395,0.748,3009,12.8%,1088,405,91,216,29.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ryan Smyth,1976,F,1270,386,456,842,976,-54,,,,,219,159,8,56,6,327,122,7,73,7,546,281,15,129,13,33.4%,,,,,,,,,,0.304,0.359,0.663,3433,11.2%,355,251,813,942,46.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Ray Whitney,1972,F,1330,385,679,1064,465,-79,,,,,268,112,5,45,6,365,311,3,119,17,633,423,8,164,23,39.8%,,,,,,,,,,0.289,0.511,0.8,3040,12.7%,167,181,436,525,45.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Rick Martin,1951,F,685,384,317,701,477,14,,,,,269,115,0,47,0,213,104,0,42,0,482,219,0,89,0,31.2%,,,,,,,,,,0.561,0.463,1.023,2516,15.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Reggie Leach,1950,F,934,381,285,666,387,127,,,,,288,88,5,58,0,210,72,3,29,0,498,160,8,87,0,24.0%,,,,,,,,,,0.408,0.305,0.713,2869,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Ted Lindsay,1925,F,1068,379,472,851,1808,9,,,,,277,93,9,58,0,346,125,1,84,0,623,218,10,142,0,25.6%,,,,,,,,,,0.355,0.442,0.797,209,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Claude Lemieux,1965,F,1215,379,407,786,1777,14,,,,,259,114,6,58,3,273,125,9,62,3,532,239,15,120,6,30.4%,,,,,,,,,,0.312,0.335,0.647,3650,10.4%,34,3,222,324,40.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Milan Hejduk,1976,F,1020,375,430,805,316,101,18:35,14:11,3:30,0:53,229,140,6,59,9,280,145,5,65,9,509,285,11,124,18,35.4%,1.187,1.361,2.548,0.949,1.161,2.11,2.352,2.436,4.788,0.368,0.422,0.789,2667,14.1%,154,188,248,338,42.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Butch Goring,1949,F,1107,375,513,888,102,-26,,,,,265,71,39,40,0,330,174,9,64,1,595,245,48,104,1,27.6%,,,,,,,,,,0.339,0.463,0.802,2275,16.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Patrice Bergeron,1985,F,1143,375,542,917,440,228,18:48,13:43,3:05,1:58,241,114,20,70,9,349,170,23,92,13,590,284,43,162,22,31.0%,1.047,1.513,2.56,0.921,1.334,2.256,1.935,2.885,4.82,0.328,0.474,0.802,3432,10.9%,828,748,13 148,9754,57.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Trevor Linden,1970,F,1382,375,492,867,895,-64,,,,,238,119,18,41,0,316,163,13,62,10,554,282,31,103,10,32.5%,,,,,,,,,,0.271,0.356,0.627,2704,13.9%,158,69,4071,3602,53.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Thomas Vanek,1984,F,1029,373,416,789,547,5,16:18,12:57,3:12,0:07,233,137,3,56,6,285,131,0,70,6,518,268,3,126,12,34.0%,1.334,1.488,2.822,1.048,1.282,2.33,2.488,2.379,4.868,0.362,0.404,0.767,2609,14.3%,437,245,105,197,34.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Eric Lindros,1973,F,760,372,493,865,1398,215,,,,,254,111,7,46,6,339,152,2,81,4,593,263,9,127,10,30.4%,,,,,,,,,,0.489,0.649,1.138,2312,16.1%,126,16,4474,3398,56.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Dany Heatley,1981,F,869,372,419,791,620,38,20:01,15:10,4:08,0:42,221,143,8,64,5,259,155,5,59,5,480,298,13,123,10,37.7%,1.283,1.445,2.727,1.006,1.179,2.185,2.384,2.584,4.968,0.428,0.482,0.91,2565,14.5%,619,267,285,373,43.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Rick Kehoe,1951,F,906,371,396,767,120,-76,,,,,268,102,1,34,0,257,138,1,37,1,525,240,2,71,1,31.3%,,,,,,,,,,0.409,0.437,0.847,2631,14.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Tim Kerr,1960,F,655,370,304,674,596,77,,,,,221,149,0,46,1,200,104,0,40,1,421,253,0,86,2,37.5%,,,,,,,,,,0.565,0.464,1.029,1980,18.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bernie Federko,1956,F,1000,369,761,1130,487,-131,,,,,247,120,2,40,0,456,305,0,91,9,703,425,2,131,9,37.6%,,,,,,,,,,0.369,0.761,1.13,2074,17.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Geoff Courtnall,1962,F,1048,367,432,799,1463,118,,,,,258,107,2,55,7,302,128,2,62,2,560,235,4,117,9,29.4%,,,,,,,,,,0.35,0.412,0.762,3087,11.9%,,,1,5,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Jacques Lemaire,1945,F,853,366,469,835,217,344,,,,,274,88,4,58,0,339,128,2,75,0,613,216,6,133,0,25.9%,,,,,,,,,,0.429,0.55,0.979,3052,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,John Tavares,1990,F,869,364,455,819,379,-17,19:47,16:09,3:18,0:18,255,106,3,56,15,293,159,3,57,13,548,265,6,113,28,32.4%,1.27,1.588,2.858,1.089,1.251,2.341,2.207,3.311,5.518,0.419,0.524,0.942,2749,13.2%,459,347,8199,7542,52.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Scott Mellanby,1966,F,1431,364,476,840,2479,-37,,,,,223,140,1,56,0,340,135,1,64,3,563,275,2,120,3,32.7%,,,,,,,,,,0.254,0.333,0.587,2960,12.3%,116,41,59,77,43.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Peter McNab,1952,F,955,363,450,813,179,128,,,,,279,83,1,47,1,338,111,1,68,1,617,194,2,115,2,23.9%,,,,,,,,,,0.38,0.471,0.851,1959,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Miroslav Satan,1974,F,1050,363,372,735,464,20,,,,,227,120,16,50,4,243,121,8,59,7,470,241,24,109,11,32.8%,,,,,,,,,,0.346,0.354,0.7,2582,14.1%,122,89,341,314,52.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Brent Sutter,1962,F,1111,363,466,829,1054,166,,,,,236,109,18,47,2,336,120,10,64,6,572,229,28,111,8,27.6%,,,,,,,,,,0.327,0.419,0.746,2395,15.2%,,,351,336,51.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Ivan Boldirev,1949,F,1052,361,505,866,507,-197,,,,,256,102,3,42,0,350,155,0,52,0,606,257,3,94,0,29.7%,,,,,,,,,,0.343,0.48,0.823,2515,14.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bobby Clarke,1949,F,1144,358,852,1210,1453,507,,,,,227,99,32,38,1,583,234,35,127,0,810,333,67,165,1,27.5%,,,,,,,,,,0.313,0.745,1.058,2576,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Henri Richard,1936,F,1258,358,688,1046,932,243,,,,,311,47,0,53,0,572,115,1,107,0,883,162,1,160,0,15.5%,,,,,,,,,,0.285,0.547,0.831,3199,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ray Sheppard,1966,F,817,357,300,657,212,10,,,,,231,125,1,52,3,196,102,2,40,1,427,227,3,92,4,34.6%,,,,,,,,,,0.437,0.367,0.804,2114,16.9%,,,8,7,53.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bobby Smith,1958,F,1077,357,679,1036,919,-8,,,,,231,125,1,51,3,422,254,3,78,1,653,379,4,129,4,36.6%,,,,,,,,,,0.331,0.63,0.962,2706,13.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Kirk Muller,1966,F,1349,357,602,959,1228,-147,,,,,211,134,12,47,5,413,176,13,83,8,624,310,25,130,13,32.3%,,,,,,,,,,0.265,0.446,0.711,2792,12.8%,,,1740,1737,50.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Dennis Maruk,1955,F,888,356,522,878,761,-78,,,,,253,89,14,26,0,347,170,5,57,0,600,259,19,83,0,29.5%,,,,,,,,,,0.401,0.588,0.989,2229,16.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Wilf Paiement,1955,F,946,356,458,814,1759,-142,,,,,254,83,19,29,0,324,129,5,34,2,578,212,24,63,2,26.0%,,,,,,,,,,0.376,0.484,0.86,2719,13.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Vyacheslav Kozlov,1972,F,1182,356,497,853,704,96,,,,,253,99,4,56,7,289,201,7,75,10,542,300,11,131,17,35.2%,,,,,,,,,,0.301,0.42,0.722,2843,12.5%,141,85,469,682,40.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Mike Foligno,1959,F,1018,355,372,727,2047,98,,,,,268,85,2,50,1,283,85,4,40,1,551,170,6,90,2,23.4%,,,,,,,,,,0.349,0.365,0.714,2124,16.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Greg Adams,1963,F,1056,355,388,743,321,-48,,,,,226,122,7,31,0,261,116,11,49,5,487,238,18,80,5,32.0%,,,,,,,,,,0.336,0.367,0.704,2325,15.3%,,,251,242,50.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Geoff Sanderson,1972,F,1104,355,345,700,511,-100,,,,,232,116,7,48,6,230,111,4,43,3,462,227,11,91,9,32.4%,,,,,,,,,,0.322,0.313,0.634,3072,11.6%,57,33,853,965,46.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Kevin Dineen,1963,F,1188,355,405,760,2229,-24,,,,,250,91,14,56,5,272,124,9,50,2,522,215,23,106,7,28.3%,,,,,,,,,,0.299,0.341,0.64,2769,12.8%,,,17,39,30.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Danny Gare,1954,F,827,354,331,685,1285,160,,,,,273,79,2,43,0,254,74,3,43,0,527,153,5,86,0,22.3%,,,,,,,,,,0.428,0.4,0.828,2551,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Jason Spezza,1983,F,1176,351,619,970,578,8,16:48,13:10,3:17,0:20,234,114,3,54,3,375,242,2,93,5,609,356,5,147,8,36.7%,1.066,1.879,2.945,0.906,1.452,2.357,1.768,3.752,5.52,0.298,0.526,0.825,2768,12.7%,264,314,9327,8196,53.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Rick MacLeish,1950,F,846,349,410,759,434,154,,,,,222,104,23,51,0,283,123,4,51,0,505,227,27,102,0,29.9%,,,,,,,,,,0.413,0.485,0.897,2605,13.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Andy Bathgate,1932,F,1069,349,624,973,624,-60,,,,,265,78,6,35,0,388,233,3,73,0,653,311,9,108,0,32.0%,,,,,,,,,,0.326,0.584,0.91,2461,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Anze Kopitar,1987,F,1129,346,654,1000,304,69,21:02,15:50,3:20,1:51,235,98,13,57,9,385,260,9,108,20,620,358,22,165,29,35.8%,0.874,1.652,2.525,0.788,1.291,2.08,1.559,4.137,5.696,0.306,0.579,0.886,2718,12.7%,1055,740,10 998,9934,52.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Jonathan Toews,1988,F,943,345,470,815,525,193,19:52,15:10,3:10,1:31,249,80,16,66,15,325,130,15,77,14,574,210,31,143,29,25.8%,1.105,1.505,2.61,1.045,1.363,2.408,1.604,2.606,4.21,0.366,0.498,0.864,2483,13.9%,595,339,10 604,8031,56.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Charlie Simmer,1954,F,712,342,369,711,544,115,,,,,215,125,2,42,2,248,121,0,36,1,463,246,2,78,3,34.6%,,,,,,,,,,0.48,0.518,0.999,1531,22.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
