,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
173,Patrick Maroon,1988,F,568,101,146,247,646,15,13:52,12:04,1:46,0:00,85,16,0,18,0,112,34,0,19,1,197,50,0,37,1,20.2%,0.769,1.112,1.881,0.743,0.979,1.723,0.95,2.018,2.968,0.178,0.257,0.435,902,11.2%,1074,107,62,106,36.90%
174,Bryan Rust,1992,F,364,100,112,212,122,46,16:12,14:00,1:06,1:06,79,16,5,19,4,90,17,5,19,3,169,33,10,38,7,15.6%,1.017,1.139,2.155,0.93,1.059,1.989,2.385,2.534,4.92,0.275,0.308,0.582,781,12.8%,533,219,24,56,30.00%
175,Anthony Mantha,1994,F,316,99,103,202,196,-26,17:19,14:57,2:20,0:01,71,28,0,10,3,88,15,0,9,2,159,43,0,19,5,21.3%,1.085,1.129,2.213,0.901,1.117,2.018,2.277,1.22,3.497,0.313,0.326,0.639,814,12.2%,306,147,78,114,40.63%
176,Alexander Edler,1986,D,922,99,309,408,661,-40,22:54,17:48,2:46,2:20,52,46,1,9,4,177,131,1,50,13,229,177,2,59,17,43.4%,0.281,0.878,1.159,0.19,0.647,0.837,1.081,3.079,4.161,0.107,0.335,0.443,2015,4.9%,1431,1757,8,11,42.11%
177,Justin Faulk,1992,D,684,97,202,299,332,-92,23:04,18:55,2:27,1:41,52,42,3,22,2,130,68,4,32,7,182,110,7,54,9,36.8%,0.369,0.768,1.137,0.241,0.603,0.844,1.499,2.426,3.925,0.142,0.295,0.437,1668,5.8%,1146,871,0,1,0.00%
178,Teuvo TerŠvŠinen,1994,F,449,96,208,304,76,59,16:41,13:46,2:17,0:37,70,24,2,13,2,132,68,8,45,3,202,92,10,58,5,30.3%,0.769,1.665,2.434,0.679,1.281,1.96,1.395,3.952,5.347,0.214,0.463,0.677,958,10.0%,150,162,432,543,44.31%
179,Brock Boeser,1997,F,249,95,108,203,64,-8,18:33,15:03,3:28,0:01,64,30,1,12,1,72,36,0,20,9,136,66,1,32,10,32.5%,1.234,1.402,2.636,1.024,1.152,2.177,2.081,2.497,4.578,0.382,0.434,0.815,707,13.4%,106,79,66,111,37.29%
180,Matt Calvert,1989,F,566,95,108,203,376,-23,14:06,11:57,0:27,1:41,78,8,9,10,1,99,4,5,16,0,177,12,14,26,1,5.9%,0.714,0.811,1.525,0.691,0.877,1.568,1.841,0.921,2.762,0.168,0.191,0.359,870,10.9%,717,278,91,138,39.74%
181,Travis Konecny,1997,F,349,94,125,219,189,5,15:19,13:23,1:54,0:00,77,17,0,13,3,93,32,0,21,6,170,49,0,34,9,22.4%,1.054,1.402,2.457,0.988,1.194,2.182,1.526,2.872,4.398,0.269,0.358,0.628,733,12.8%,372,170,44,71,38.26%
182,Andreas Athanasiou,1994,F,350,94,85,179,144,-82,14:42,12:49,1:37,0:15,85,8,1,13,4,67,18,0,13,2,152,26,1,26,6,14.5%,1.096,0.991,2.087,1.137,0.896,2.033,0.842,1.894,2.736,0.269,0.243,0.511,773,12.2%,151,123,414,559,42.55%
183,Erik Haula,1991,F,456,94,102,196,196,23,14:08,11:52,0:56,1:18,70,19,5,16,1,84,15,3,21,3,154,34,8,37,4,17.3%,0.875,0.949,1.824,0.776,0.931,1.706,2.634,2.08,4.714,0.206,0.224,0.43,759,12.4%,336,238,2459,2307,51.59%
184,Paul Byron,1989,F,494,94,107,201,137,39,14:19,12:11,0:33,1:33,79,5,10,15,3,90,8,9,22,6,169,13,19,37,9,6.5%,0.797,0.907,1.704,0.787,0.897,1.684,1.073,1.717,2.791,0.19,0.217,0.407,555,16.9%,851,229,162,272,37.33%
185,Calle JŠrnkrok,1991,F,508,94,117,211,113,59,15:26,12:44,0:55,1:47,75,11,8,13,2,93,21,3,23,3,168,32,11,36,5,15.2%,0.719,0.895,1.614,0.696,0.863,1.558,1.416,2.703,4.119,0.185,0.23,0.415,805,11.7%,268,173,1678,1839,47.71%
186,Ryan Suter,1985,D,1198,93,514,607,667,104,25:02,19:32,3:11,2:17,57,32,4,18,2,299,205,10,90,14,356,237,14,108,16,39.0%,0.186,1.028,1.214,0.146,0.766,0.913,0.501,3.21,3.711,0.078,0.429,0.507,2051,4.5%,949,1620,2,3,40.00%
187,Kevin Fiala,1996,F,337,91,107,198,165,-6,15:16,13:02,2:08,0:04,70,21,0,16,2,72,35,0,23,0,142,56,0,39,2,28.3%,1.061,1.247,2.308,0.955,0.983,1.938,1.74,2.9,4.64,0.27,0.318,0.588,826,11.0%,174,95,10,27,27.03%
188,Vladislav Namestnikov,1992,F,478,91,115,206,251,2,15:07,12:35,1:44,0:47,68,17,6,12,2,91,18,6,21,4,159,35,12,33,6,17.0%,0.755,0.955,1.71,0.678,0.908,1.586,1.228,1.3,2.529,0.19,0.241,0.431,729,12.5%,563,266,930,1190,43.87%
189,Tom Wilson,1994,F,569,91,130,221,1123,31,13:54,11:57,0:33,1:23,73,13,5,13,1,118,10,2,20,1,191,23,7,33,2,10.4%,0.69,0.986,1.676,0.644,1.041,1.685,2.427,1.867,4.293,0.16,0.228,0.388,826,11.0%,1702,315,96,132,42.11%
190,Max Domi,1995,F,429,90,185,275,375,-14,16:41,14:06,2:29,0:05,78,12,0,8,3,139,45,1,27,8,217,57,1,35,11,20.7%,0.754,1.55,2.305,0.773,1.378,2.151,0.673,2.524,3.197,0.21,0.431,0.641,895,10.1%,211,136,1234,1424,46.43%
191,Anthony Duclair,1995,F,396,89,105,194,133,24,14:06,11:56,1:56,0:13,63,24,2,11,3,92,12,1,19,2,155,36,3,30,5,18.6%,0.956,1.128,2.084,0.8,1.168,1.968,1.871,0.935,2.806,0.225,0.265,0.49,716,12.4%,218,156,10,24,29.41%
192,Jared Spurgeon,1989,D,707,89,216,305,120,48,22:21,18:04,2:19,1:57,57,32,0,15,2,141,70,5,34,3,198,102,5,49,5,33.4%,0.338,0.82,1.158,0.268,0.662,0.93,1.171,2.561,3.732,0.126,0.306,0.431,1150,7.7%,615,1199,1,2,33.33%
193,Timo Meier,1996,F,317,88,100,188,180,-17,15:52,13:54,1:33,0:24,75,13,0,9,2,79,20,1,10,0,154,33,1,19,2,17.6%,1.05,1.193,2.243,1.02,1.075,2.095,1.587,2.442,4.029,0.278,0.315,0.593,899,9.8%,498,155,104,150,40.94%
194,Richard Panik,1991,F,517,88,106,194,274,10,13:25,11:53,1:10,0:21,75,12,1,11,1,92,14,0,19,1,167,26,1,30,2,13.4%,0.761,0.917,1.678,0.732,0.898,1.63,1.183,1.38,2.563,0.17,0.205,0.375,773,11.4%,829,271,35,55,38.89%
195,Tyson Barrie,1991,D,609,88,306,394,189,-60,21:45,18:19,3:09,0:16,62,25,1,20,4,178,127,1,47,11,240,152,2,67,15,38.6%,0.398,1.385,1.784,0.333,0.957,1.29,0.778,3.952,4.73,0.144,0.502,0.647,1377,6.4%,400,646,0,0,0.00%
196,Zach Hyman,1992,F,345,86,99,185,201,72,17:36,14:45,0:29,2:21,73,6,7,14,0,93,5,1,15,1,166,11,8,29,1,5.9%,0.849,0.978,1.827,0.86,1.095,1.955,2.105,1.754,3.86,0.249,0.287,0.536,706,12.2%,480,189,285,367,43.71%
197,Conor Sheary,1992,F,378,86,86,172,76,1,13:44,12:24,1:19,0:00,76,10,0,15,4,76,10,0,11,0,152,20,0,26,4,11.6%,0.993,0.993,1.986,0.972,0.972,1.944,1.204,1.204,2.408,0.228,0.228,0.455,684,12.6%,154,134,28,39,41.79%
198,Marcus Foligno,1991,F,604,86,123,209,540,11,13:53,12:24,0:28,0:59,77,4,5,10,0,110,10,3,12,0,187,14,8,22,0,6.7%,0.615,0.88,1.495,0.616,0.88,1.497,0.83,2.075,2.905,0.142,0.204,0.346,697,12.3%,1707,359,283,319,47.01%
199,Kevin Shattenkirk,1989,D,734,85,313,398,434,2,20:37,16:56,2:45,0:55,45,40,0,14,3,173,137,3,61,14,218,177,3,75,17,44.5%,0.337,1.24,1.577,0.217,0.835,1.052,1.185,4.06,5.246,0.116,0.426,0.542,1500,5.7%,713,946,1,3,25.00%
200,Tyler Myers,1990,D,755,85,219,304,566,-7,22:15,17:38,2:09,2:27,62,19,4,18,4,140,72,7,38,4,202,91,11,56,8,29.9%,0.303,0.782,1.085,0.279,0.63,0.91,0.701,2.657,3.358,0.113,0.29,0.403,1278,6.7%,896,1088,0,1,0.00%
