,,,Overall,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
44,Shea Weber,1985,D,1038,224,365,589,714,79,24:02,18:40,3:10,2:11,113,106,5,35,7,226,133,6,66,11,339,239,11,101,18,40.6%,0.538,0.877,1.416,0.35,0.699,1.049,1.925,2.416,4.341,0.216,0.352,0.567,2765,8.1%,2212,1691,0,0,0.00%
45,Ryan O'Reilly,1991,F,860,219,395,614,124,6,19:43,15:21,2:27,1:54,146,63,10,32,12,269,117,9,69,12,415,180,19,101,24,29.3%,0.774,1.397,2.171,0.663,1.222,1.885,1.792,3.328,5.119,0.255,0.459,0.714,1938,11.3%,370,479,8931,7102,55.70%
46,Vladimir Tarasenko,1991,F,531,218,224,442,145,68,17:36,14:42,2:41,0:12,160,58,0,35,10,159,65,0,30,1,319,123,0,65,11,27.8%,1.399,1.438,2.837,1.229,1.222,2.451,2.436,2.73,5.166,0.411,0.422,0.832,1725,12.6%,388,192,13,18,41.94%
47,Gabriel Landeskog,1992,F,687,218,294,512,523,50,19:21,15:31,2:58,0:50,152,61,5,38,6,215,74,5,45,5,367,135,10,83,11,26.4%,0.984,1.326,2.31,0.855,1.209,2.064,1.788,2.168,3.956,0.317,0.428,0.745,1879,11.6%,1370,500,1273,1132,52.93%
48,Brent Burns,1985,D,1169,217,506,723,721,-19,22:12,17:33,2:53,1:44,139,76,2,40,15,311,182,13,74,7,450,258,15,114,22,35.7%,0.502,1.17,1.671,0.406,0.909,1.316,1.346,3.224,4.57,0.186,0.433,0.618,3234,6.7%,1376,1406,80,96,45.45%
49,Jakub Vor‡cek,1989,F,968,216,522,738,481,-16,17:16,14:04,3:06,0:04,164,52,0,29,11,341,181,0,90,16,505,233,0,119,27,31.6%,0.775,1.873,2.648,0.722,1.502,2.224,1.035,3.602,4.636,0.223,0.539,0.762,2353,9.2%,443,281,92,146,38.66%
50,David Krejc’,1986,F,962,215,515,730,339,143,17:52,14:44,2:24,0:44,161,50,4,41,5,366,141,8,87,14,527,191,12,128,19,26.2%,0.75,1.797,2.547,0.682,1.549,2.231,1.294,3.65,4.944,0.223,0.535,0.759,1736,12.4%,688,535,6741,6495,50.93%
51,Milan Lucic,1988,F,1011,215,327,542,1170,82,15:31,13:37,1:52,0:01,169,46,0,36,1,260,67,0,51,3,429,113,0,87,4,20.8%,0.822,1.25,2.072,0.736,1.133,1.869,1.453,2.116,3.569,0.213,0.323,0.536,1623,13.3%,2882,305,253,306,45.26%
52,Cam Atkinson,1989,F,627,213,189,402,146,17,17:40,14:05,2:22,1:13,155,42,16,42,6,136,53,0,37,8,291,95,16,79,14,23.6%,1.153,1.023,2.176,1.052,0.923,1.976,1.698,2.142,3.84,0.34,0.301,0.641,1883,11.3%,336,289,87,158,35.51%
53,Nathan MacKinnon,1995,F,573,210,350,560,234,61,19:36,15:56,3:15,0:24,144,64,2,41,8,233,115,2,65,6,377,179,4,106,14,32.0%,1.122,1.869,2.991,0.946,1.53,2.476,2.056,3.694,5.749,0.366,0.611,0.977,2102,10.0%,383,268,3274,3847,45.98%
54,Zdeno Chara,1977,D,1608,207,459,666,2000,293,23:43,18:08,2:03,3:30,106,93,8,35,3,299,133,27,65,12,405,226,35,100,15,33.9%,0.326,0.722,1.048,0.218,0.615,0.833,1.684,2.409,4.093,0.129,0.285,0.414,3338,6.2%,2330,1662,13,23,36.11%
55,Sean Monahan,1994,F,591,204,235,439,129,-31,18:16,14:51,3:00,0:24,141,61,2,45,11,165,69,1,37,10,306,130,3,82,21,29.6%,1.133,1.305,2.438,0.964,1.128,2.092,2.055,2.325,4.38,0.345,0.398,0.743,1404,14.5%,338,208,5060,5023,50.18%
56,Nick Foligno,1987,F,956,203,283,486,769,1,16:20,13:45,1:59,0:35,155,48,0,31,3,210,69,4,41,5,365,117,4,72,8,24.1%,0.78,1.087,1.867,0.707,0.958,1.665,1.513,2.175,3.687,0.212,0.296,0.508,1759,11.5%,2052,544,1195,1345,47.05%
57,Travis Zajac,1985,F,1037,203,349,552,344,-20,18:39,14:22,2:23,1:52,138,53,12,24,4,244,95,10,69,12,382,148,22,93,16,26.8%,0.629,1.082,1.712,0.556,0.983,1.538,1.279,2.292,3.571,0.196,0.337,0.532,1811,11.2%,824,423,8977,7813,53.47%
58,Mark Scheifele,1993,F,574,201,304,505,237,77,19:47,16:20,2:53,0:32,146,53,2,31,9,231,67,6,46,7,377,120,8,77,16,23.8%,1.062,1.606,2.668,0.934,1.477,2.411,1.911,2.415,4.326,0.35,0.53,0.88,1254,16.0%,447,342,4346,5153,45.75%
59,David Pastrnak,1996,F,438,200,227,427,195,73,17:26,14:38,2:45,0:01,132,68,0,33,4,156,71,0,42,5,288,139,0,75,9,32.6%,1.571,1.784,3.355,1.235,1.459,2.694,3.387,3.536,6.923,0.457,0.518,0.975,1399,14.3%,338,149,22,54,28.95%
60,Mika Zibanejad,1993,F,604,200,234,434,173,-26,17:45,13:49,2:43,1:12,125,66,9,31,6,161,68,5,35,3,286,134,14,66,9,30.9%,1.119,1.31,2.429,0.899,1.157,2.056,2.411,2.485,4.896,0.331,0.387,0.719,1535,13.0%,850,371,4688,4817,49.32%
61,Auston Matthews,1997,F,333,199,152,351,56,59,19:13,16:27,2:42,0:03,152,47,0,35,7,107,45,0,28,9,259,92,0,63,16,26.2%,1.866,1.425,3.291,1.664,1.171,2.835,3.135,3.001,6.136,0.598,0.456,1.054,1227,16.2%,162,288,2332,2178,51.71%
62,Leon Draisaitl,1995,F,477,199,306,505,166,7,19:55,16:09,3:07,0:38,123,69,7,32,9,220,85,1,64,15,343,154,8,96,24,30.5%,1.256,1.931,3.187,0.957,1.712,2.67,2.78,3.425,6.204,0.417,0.642,1.059,1160,17.2%,261,143,3685,3470,51.50%
63,Adam Henrique,1990,F,710,198,201,399,215,-11,17:47,13:51,2:13,1:42,136,48,14,36,7,137,51,13,31,13,273,99,27,67,20,24.8%,0.94,0.955,1.895,0.829,0.835,1.665,1.822,1.936,3.759,0.279,0.283,0.562,1285,15.4%,650,494,4607,4746,49.26%
64,Kyle Okposo,1988,F,835,198,321,519,443,-114,17:27,14:17,2:44,0:25,141,56,1,30,7,211,106,4,41,4,352,162,5,71,11,31.2%,0.815,1.322,2.137,0.709,1.061,1.769,1.469,2.781,4.25,0.237,0.384,0.622,1937,10.2%,741,359,650,679,48.91%
65,Valtteri Filppula,1984,F,1056,197,333,530,346,-4,16:51,13:37,1:58,1:15,164,28,5,26,1,255,75,3,63,9,419,103,8,89,10,19.4%,0.664,1.123,1.787,0.684,1.064,1.748,0.803,2.15,2.952,0.187,0.315,0.502,1435,13.7%,426,401,5848,5657,50.83%
66,Connor McDavid,1997,F,406,195,378,573,138,66,21:33,17:33,3:22,0:37,152,40,3,44,9,239,134,5,56,13,391,174,8,100,22,30.4%,1.337,2.591,3.928,1.279,2.011,3.29,1.753,5.874,7.627,0.48,0.931,1.411,1279,15.3%,211,157,2034,2505,44.81%
67,Brayden Schenn,1991,F,714,195,271,466,392,-18,17:20,14:18,2:47,0:14,122,73,0,46,7,190,81,0,45,6,312,154,0,91,13,33.0%,0.945,1.313,2.258,0.716,1.116,1.832,2.193,2.434,4.627,0.273,0.38,0.653,1497,13.0%,1539,321,2746,3064,47.26%
68,Derick Brassard,1987,F,905,194,309,503,419,-35,16:04,13:26,2:31,0:06,135,59,0,28,4,217,92,0,50,6,352,151,0,78,10,30.0%,0.8,1.274,2.074,0.666,1.07,1.736,1.546,2.41,3.956,0.214,0.341,0.556,1781,10.9%,1307,200,4965,5254,48.59%
69,Nazem Kadri,1990,F,668,191,234,425,518,-27,16:51,14:15,2:31,0:04,135,55,1,25,4,170,64,0,25,3,305,119,1,50,7,28.0%,1.017,1.246,2.264,0.85,1.071,1.921,1.955,2.275,4.23,0.286,0.35,0.636,1704,11.2%,911,232,4276,4429,49.12%
70,Mike Hoffman,1989,F,545,189,206,395,187,-17,16:43,13:54,2:46,0:01,122,67,0,32,11,134,72,0,25,4,256,139,0,57,15,35.2%,1.244,1.356,2.601,0.965,1.06,2.025,2.66,2.858,5.518,0.347,0.378,0.725,1569,12.1%,266,186,83,83,50.00%
71,Brendan Gallagher,1992,F,582,187,170,357,328,68,15:58,13:32,2:22,0:03,148,38,1,22,0,142,28,0,22,0,290,66,1,44,0,18.5%,1.206,1.097,2.303,1.126,1.081,2.207,1.652,1.217,2.869,0.321,0.292,0.613,1854,10.1%,557,271,283,376,42.94%
72,Kyle Palmieri,1991,F,612,185,174,359,308,-3,15:49,13:06,2:20,0:23,122,61,2,32,5,114,60,0,32,7,236,121,2,64,12,33.7%,1.146,1.078,2.224,0.912,0.853,1.765,2.563,2.521,5.083,0.302,0.284,0.587,1484,12.5%,847,292,109,214,33.75%
73,Ryan Nugent-Hopkins,1993,F,655,185,293,478,223,-47,19:23,15:09,2:53,1:20,132,50,3,24,4,170,119,4,46,6,302,169,7,70,10,35.4%,0.874,1.384,2.258,0.798,1.027,1.825,1.581,3.762,5.343,0.282,0.447,0.73,1550,11.9%,487,354,3567,4479,44.33%
74,Anders Lee,1990,F,520,184,136,320,315,30,16:11,13:36,2:33,0:01,131,53,0,31,1,104,32,0,18,1,235,85,0,49,2,26.6%,1.311,0.969,2.281,1.111,0.882,1.993,2.386,1.441,3.827,0.354,0.262,0.615,1328,13.9%,899,250,249,282,46.89%
75,Brandon Saad,1992,F,632,184,187,371,120,52,16:51,14:01,1:47,1:02,157,21,6,38,3,161,23,3,28,6,318,44,9,66,9,11.9%,1.036,1.053,2.09,1.062,1.09,2.152,1.116,1.223,2.339,0.291,0.296,0.587,1546,11.9%,342,199,258,344,42.86%
76,Aleksander Barkov,1995,F,529,181,284,465,98,44,19:59,15:34,3:06,1:18,124,50,7,33,6,201,80,3,48,9,325,130,10,81,15,28.0%,1.027,1.611,2.638,0.903,1.463,2.366,1.82,2.912,4.732,0.342,0.537,0.879,1333,13.6%,243,331,5072,4794,51.41%
77,Artem Anisimov,1988,F,771,180,196,376,214,-17,15:57,12:58,1:47,1:11,133,39,8,31,6,165,27,4,36,5,298,66,12,67,11,17.6%,0.877,0.955,1.833,0.797,0.989,1.787,1.688,1.168,2.856,0.233,0.254,0.488,1380,13.0%,397,411,3498,4096,46.06%
78,Filip Forsberg,1994,F,497,178,207,385,216,18,17:53,14:19,2:46,0:47,124,48,6,33,7,141,65,1,35,2,265,113,7,68,9,29.4%,1.201,1.396,2.597,1.045,1.188,2.234,2.084,2.822,4.905,0.358,0.416,0.775,1475,12.1%,643,204,19,43,30.65%
79,Chris Kreider,1991,F,573,177,169,346,475,67,16:13,13:38,2:31,0:03,119,58,0,23,1,135,34,0,31,4,254,92,0,54,5,26.6%,1.142,1.09,2.232,0.914,1.037,1.95,2.404,1.409,3.813,0.309,0.295,0.604,1275,13.9%,1146,254,162,224,41.97%
80,Tomas Tatar,1990,F,625,176,201,377,224,23,15:36,13:20,2:14,0:01,129,47,0,28,2,156,45,0,25,5,285,92,0,53,7,24.4%,1.083,1.237,2.32,0.929,1.123,2.051,2.01,1.924,3.934,0.282,0.322,0.603,1351,13.0%,639,188,80,128,38.46%
81,Craig Smith,1989,F,715,175,187,362,282,88,14:52,12:47,2:04,0:00,129,46,0,26,3,151,36,0,28,0,280,82,0,54,3,22.7%,0.987,1.055,2.042,0.846,0.991,1.837,1.866,1.461,3.327,0.245,0.262,0.506,1826,9.6%,654,197,484,699,40.91%
